Fakturabeløp (NOK),netto_dager,betalingsfrist_dager,faktura_maned,faktura_kvartal,Gj.snitt dager forsinket (leverandør),Antall fakturaer (leverandør),Leverandørkategori_Bygg,Leverandørkategori_Energi,Leverandørkategori_Forbruksmateriell,Leverandørkategori_IT,Leverandørkategori_Konsulenttjenester,Leverandørkategori_Renhold,Leverandørkategori_Transport,Leverandørkategori_Vedlikehold,Kontrakttype_Enkeltkontrakt,Kontrakttype_Minikonkurranse,Kontrakttype_Rammeavtale,Kontrakttype_Åpen anbudskonkurranse,INCOTERMS_CFR,INCOTERMS_CIF,INCOTERMS_CIP,INCOTERMS_CPT,INCOTERMS_DAP,INCOTERMS_DDP,INCOTERMS_DPU,INCOTERMS_EXW,INCOTERMS_FAS,INCOTERMS_FCA,INCOTERMS_FOB,Risikokategori leverandør_Høy,Risikokategori leverandør_Kritisk,Risikokategori leverandør_Lav,Risikokategori leverandør_Medium,er_forsinket
195700,90,90,1,1,14.8,38,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
526100,14,14,1,1,13.9,32,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0
682800,30,30,1,1,7.4,33,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
253000,10,10,1,1,3.2,14,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
184700,60,60,1,1,16.8,48,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
573100,10,10,1,1,7.4,33,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
193600,90,90,1,1,25.2,14,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
473600,60,60,1,1,18.9,41,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0
77700,60,60,1,1,6.1,30,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
332400,60,60,1,1,18.9,41,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
398100,30,30,1,1,6.1,30,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
109400,60,60,1,1,14.2,21,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
508900,60,60,1,1,16.8,48,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
41100,90,90,1,1,16.8,48,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
69300,90,90,1,1,25.2,14,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
47700,10,10,1,1,14.1,15,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
9400,10,10,1,1,17.0,43,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1
717700,14,14,1,1,18.9,41,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
50400,45,45,1,1,3.0,39,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
575500,14,14,1,1,2.2,32,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
545300,14,14,1,1,9.6,26,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
505900,14,14,1,1,13.9,32,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0
440900,45,45,1,1,4.4,29,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0
86400,60,60,1,1,16.8,48,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
14300,60,60,1,1,14.2,21,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
7100,10,10,1,1,17.0,43,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1
170800,60,60,1,1,12.3,28,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0
81500,60,60,1,1,12.3,28,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
72900,14,14,2,1,19.1,18,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
379800,30,30,2,1,14.7,25,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
406000,14,14,2,1,2.2,32,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
58300,90,90,2,1,16.6,44,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0
229800,10,10,2,1,12.4,12,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
47100,14,14,2,1,2.1,32,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
27300,10,10,2,1,17.0,43,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
33700,45,45,2,1,3.0,39,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
420500,60,60,2,1,6.1,30,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
38100,60,60,2,1,11.1,23,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0
236200,10,10,2,1,12.3,28,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
177400,14,14,2,1,13.9,32,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,1
