Faktura-ID,Leverandør-ID,Fakturabeløp (NOK),Fakturadato,Forfallsdato,Faktisk betalingsdato,Betalingsstatus,Dager forsinket,Betalingsbetingelser,INCOTERMS,Kontrakttype,Leverandørkategori,Gj.snitt dager forsinket (leverandør),Antall fakturaer (leverandør),Risikokategori leverandør
FAK-0001,LEV-004,195700,2023-01-01,2023-04-01,2023-03-26,Betalt,0,Netto 90,DPU,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0002,LEV-019,526100,2023-01-02,2023-01-16,2023-01-06,Betalt,0,Netto 14,CPT,Minikonkurranse,IT,13.9,32,Høy
FAK-0003,LEV-005,682800,2023-01-03,2023-02-02,2023-01-23,Betalt,0,Netto 30,DAP,Rammeavtale,IT,7.4,33,Medium
FAK-0004,LEV-027,253000,2023-01-04,2023-01-14,2023-01-06,Betalt,0,Netto 10,CPT,Åpen anbudskonkurranse,IT,3.2,14,Medium
FAK-0005,LEV-012,184700,2023-01-06,2023-03-07,2023-04-11,Forsinket,35,Netto 60,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0006,LEV-005,573100,2023-01-09,2023-01-19,2023-02-19,Forsinket,31,Netto 10,DAP,Rammeavtale,IT,7.4,33,Medium
FAK-0007,LEV-037,193600,2023-01-09,2023-04-09,2023-05-10,Forsinket,31,Netto 90,EXW,Rammeavtale,Konsulenttjenester,25.2,14,Kritisk
FAK-0008,LEV-017,473600,2023-01-10,2023-03-11,2023-03-02,Betalt,0,Netto 60,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0009,LEV-036,77700,2023-01-11,2023-03-12,2023-03-08,Betalt,0,Netto 60,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0010,LEV-017,332400,2023-01-12,2023-03-13,2023-04-11,Forsinket,29,Netto 60,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0011,LEV-036,398100,2023-01-13,2023-02-12,2023-02-08,Betalt,0,Netto 30,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0012,LEV-023,109400,2023-01-15,2023-03-16,2023-03-14,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,Transport,14.2,21,Høy
FAK-0013,LEV-012,508900,2023-01-17,2023-03-18,2023-03-12,Betalt,0,Netto 60,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0014,LEV-012,41100,2023-01-18,2023-04-18,2023-04-16,Betalt,0,Netto 90,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0015,LEV-037,69300,2023-01-19,2023-04-19,2023-06-18,Forsinket,60,Netto 90,EXW,Rammeavtale,Konsulenttjenester,25.2,14,Kritisk
FAK-0016,LEV-018,47700,2023-01-19,2023-01-29,2023-03-09,Forsinket,39,Netto 10,CFR,Rammeavtale,Renhold,14.1,15,Høy
FAK-0017,LEV-010,9400,2023-01-20,2023-01-30,2023-02-10,Forsinket,11,Netto 10,DAP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0018,LEV-017,717700,2023-01-20,2023-02-03,2023-03-03,Forsinket,28,Netto 14,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0019,LEV-009,50400,2023-01-20,2023-03-06,2023-03-02,Betalt,0,Netto 45,DAP,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0020,LEV-034,575500,2023-01-24,2023-02-07,2023-01-28,Betalt,0,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0021,LEV-032,545300,2023-01-24,2023-02-07,2023-01-29,Betalt,0,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0022,LEV-019,505900,2023-01-25,2023-02-08,2023-02-03,Betalt,0,Netto 14,FOB,Minikonkurranse,IT,13.9,32,Høy
FAK-0023,LEV-014,440900,2023-01-25,2023-03-11,2023-03-08,Betalt,0,Netto 45,FOB,Rammeavtale,IT,4.4,29,Medium
FAK-0024,LEV-012,86400,2023-01-27,2023-03-28,2023-05-17,Forsinket,50,Netto 60,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0025,LEV-023,14300,2023-01-27,2023-03-28,2023-05-21,Forsinket,54,Netto 60,CFR,Åpen anbudskonkurranse,Transport,14.2,21,Høy
FAK-0026,LEV-010,7100,2023-01-29,2023-02-08,2023-03-29,Forsinket,49,Netto 10,DAP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0027,LEV-006,170800,2023-01-29,2023-03-30,2023-03-27,Betalt,0,Netto 60,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0028,LEV-006,81500,2023-01-29,2023-03-30,2023-05-01,Forsinket,32,Netto 60,CFR,Minikonkurranse,Energi,12.3,28,Høy
FAK-0029,LEV-022,72900,2023-02-01,2023-02-15,2023-04-03,Forsinket,47,Netto 14,EXW,Minikonkurranse,Transport,19.1,18,Høy
FAK-0030,LEV-007,379800,2023-02-02,2023-03-04,2023-04-19,Forsinket,46,Netto 30,CIP,Rammeavtale,IT,14.7,25,Høy
FAK-0031,LEV-034,406000,2023-02-03,2023-02-17,2023-02-10,Betalt,0,Netto 14,CPT,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0032,LEV-038,58300,2023-02-04,2023-05-05,2023-04-25,Betalt,0,Netto 90,FOB,Rammeavtale,Energi,16.6,44,Høy
FAK-0033,LEV-033,229800,2023-02-06,2023-02-16,2023-02-12,Betalt,0,Netto 10,CFR,Rammeavtale,Konsulenttjenester,12.4,12,Høy
FAK-0034,LEV-028,47100,2023-02-07,2023-02-21,2023-02-11,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0035,LEV-010,27300,2023-02-09,2023-02-19,2023-02-17,Betalt,0,Netto 10,DAP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0036,LEV-009,33700,2023-02-10,2023-03-27,2023-03-26,Betalt,0,Netto 45,DAP,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0037,LEV-036,420500,2023-02-11,2023-04-12,2023-04-09,Betalt,0,Netto 60,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0038,LEV-002,38100,2023-02-15,2023-04-16,2023-04-08,Betalt,0,Netto 60,EXW,Rammeavtale,Renhold,11.1,23,Høy
FAK-0039,LEV-006,236200,2023-02-20,2023-03-02,2023-03-29,Forsinket,27,Netto 10,CFR,Minikonkurranse,Energi,12.3,28,Høy
FAK-0040,LEV-019,177400,2023-02-21,2023-03-07,2023-04-06,Forsinket,30,Netto 14,FOB,Minikonkurranse,IT,13.9,32,Høy
FAK-0041,LEV-009,61200,2023-02-23,2023-04-09,2023-04-03,Betalt,0,Netto 45,DAP,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0042,LEV-005,568000,2023-02-23,2023-03-25,2023-03-23,Betalt,0,Netto 30,DAP,Rammeavtale,IT,7.4,33,Medium
FAK-0043,LEV-026,394600,2023-02-23,2023-03-25,2023-03-24,Betalt,0,Netto 30,CIP,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0044,LEV-032,833100,2023-02-24,2023-03-26,2023-03-21,Betalt,0,Netto 30,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0045,LEV-028,84700,2023-02-24,2023-03-10,2023-03-08,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0046,LEV-003,761000,2023-02-24,2023-05-25,2023-05-20,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0047,LEV-019,463200,2023-02-25,2023-03-11,2023-03-08,Betalt,0,Netto 14,CPT,Minikonkurranse,IT,13.9,32,Høy
FAK-0048,LEV-007,626800,2023-02-25,2023-03-27,2023-03-21,Betalt,0,Netto 30,CIP,Rammeavtale,IT,14.7,25,Høy
